trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",25,0,-109.05478697697254,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.4352752816480621}",20,0,-91.66647624246916,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.2675805205867436}",20,0,-61.173529193399794,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.18946457081379978}",35,0,-120.17162276849947,"{0: 26, 1: 3, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.1449559327355391}",20,0,-17.666578976377057,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.11647118646192989}",25,0,-12.294750706210706,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.09680155905721156}",20,0,-83.14449057724289,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.0824692444233059}",25,19,0.2240528584567798,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.7, 'e': 0.0715993349974727}",25,0,-19.768821259492533,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.06309573444801933}",20,0,24.826738510936554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.05627672006216778}",25,0,26.91278311028741,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.050697028491100485}",25,0,34.45580260491132,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.04605406581088445}",25,0,19.249899169921463,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.04213532588259928}",25,0,34.82031338596734,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.03878738394351254}",20,0,-37.390385864444376,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.03589682359365735}",30,0,-26.107257458301355,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.03337807562774001}",20,0,14.550418716511103,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.03116542070683888}",25,0,-15.805262681072039,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.02920758699096602}",20,0,21.59681930912966,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.027464013582652946}",25,0,32.41191301039174,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.025902211566137073}",20,12,12.69412337397372,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.024495865175289226}",35,0,-8.93336849670102,"{0: 33, 1: 0, 2: 0, 3: 1, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.023223442471487783}",25,3,24.091804341028187,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.02206716335518359}",25,0,4.918726882571461,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.7, 'e': 0.02101222243523014}",20,0,11.14179041399242,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.020046196466871113}",20,11,5.183019647842267,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.019158587332288396}",20,0,14.952136626273376,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.7, 'e': 0.01834046584088128}",30,0,34.71282342374872,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.017584191408809388}",20,0,20.20211207078855,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.01688318947040394}",25,6,32.71480664737668,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.01623177325801658}",30,24,9.92874206821615,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.015625000000000003}",30,0,44.017953762132045,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.7, 'e': 0.015058554051149291}",25,13,21.653588394149946,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.01452865126973485}",20,1,-27.240550034990548,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
35,False,"{'a': 0.7, 'e': 0.014031960283392477}",25,13,22.417618470232178,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.013565537275849639}",20,14,13.64458681244458,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.013126771670787605}",25,12,20.400635671418307,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
