trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-90.7686036833695,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.78577285306052,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.63051170790766,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.87309012215582,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.1640200679059,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-98.33713471050622,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.29345546874161,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.98427788678677,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.07811877493135,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.75890562064293,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.44972575450785,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.15927273090324,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.58986527340437,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.57425911640536,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.24093257402609,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.70112022582074,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.3160153770217,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.20814372478623,"{0: 20, 1: 0, 2: 6, 3: 2, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.15774355700296,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.77000145401733,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.0369007465264,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.4928565119763,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,2,-19.782383683027064,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.85002740496016,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.261197968220635,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.26694374078893,"{0: 8, 1: 8, 2: 2, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-213.26244900821436,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,8,-74.97526728948921,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-66.10896699450646,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-164.11018713028355,"{0: 21, 1: 3, 2: 7, 3: 3, 4: 1}",0
