trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",25,0,-128.98889686206772,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",20,0,-72.20945317386867,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",20,0,-97.03364243668278,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",30,6,-74.2603184763099,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 0}",1
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",35,22,-23.381600552855673,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",35,0,-93.00559286626641,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",25,10,-60.44744584846657,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 1}",1
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",25,8,-35.33513144985991,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",25,0,-49.857118195974195,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",25,2,-48.06090575131499,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",20,0,5.703467157376088,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",25,0,-71.39631315783353,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",25,0,-43.75987568958323,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",30,0,-70.46856420779518,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",25,2,-15.879602198464358,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",20,7,24.366509898933913,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",25,13,-34.18362855294407,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",30,13,27.573307105984796,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",20,12,-76.38312273506423,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",20,0,-14.887760502962983,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,8,23.944298730647773,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,23.788559624035745,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,2,-18.319141213274783,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-13.692754534731899,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,11.746966420744549,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,10,16.858891279784768,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-56.986006120216146,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,15,15.491909462147111,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,9,-22.90911572989309,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",35,0,36.66929747381053,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",25,6,32.10154400758704,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
